Country,Clicks,Impressions,CTR,Position
United Kingdom,4,49,8.16%,8.47
United States,2,227,0.88%,8.69
United Arab Emirates,2,7,28.57%,7.86
Philippines,1,30,3.33%,7.97
Germany,1,27,3.7%,7.59
Russia,1,14,7.14%,6.14
Hong Kong,1,1,100%,4
Luxembourg,1,1,100%,9
Saudi Arabia,0,41,0%,7.78
Brazil,0,34,0%,8.65
Australia,0,33,0%,8.21
India,0,31,0%,6.35
Netherlands,0,23,0%,6.74
Canada,0,23,0%,7.74
Sweden,0,20,0%,7.5
Norway,0,17,0%,8.24
Romania,0,15,0%,6.4
Hungary,0,12,0%,7.83
Turkey,0,12,0%,8.92
Indonesia,0,12,0%,9.42
Egypt,0,11,0%,6.82
Switzerland,0,11,0%,8.36
Italy,0,11,0%,10.91
Czechia,0,10,0%,5.6
Pakistan,0,10,0%,5.6
Belgium,0,10,0%,6.1
Finland,0,10,0%,7.5
Bulgaria,0,10,0%,7.6
Spain,0,9,0%,6.44
Poland,0,9,0%,6.89
Morocco,0,9,0%,7.78
South Korea,0,8,0%,7.75
Iraq,0,8,0%,8.38
Greece,0,7,0%,7.29
France,0,7,0%,7.43
Bangladesh,0,7,0%,8.14
Singapore,0,5,0%,4.4
South Africa,0,5,0%,8
Croatia,0,5,0%,8.6
Malaysia,0,5,0%,9
Japan,0,5,0%,15.6
Ukraine,0,4,0%,4.5
Myanmar (Burma),0,4,0%,5.5
Qatar,0,4,0%,5.5
Mexico,0,4,0%,5.75
Austria,0,4,0%,6.25
Israel,0,4,0%,7.25
Denmark,0,4,0%,8
Portugal,0,4,0%,8.75
Cyprus,0,4,0%,17.75
Latvia,0,3,0%,4.33
Bahrain,0,3,0%,6.67
Serbia,0,3,0%,7
Lithuania,0,3,0%,7.33
Estonia,0,3,0%,7.67
Argentina,0,3,0%,8
Tunisia,0,3,0%,8
Kuwait,0,3,0%,8.33
Libya,0,3,0%,8.33
Puerto Rico,0,3,0%,8.33
Iran,0,3,0%,9.33
Ireland,0,2,0%,5.5
Jordan,0,2,0%,7
Trinidad & Tobago,0,2,0%,7
Lebanon,0,2,0%,7.5
Moldova,0,2,0%,8
Nigeria,0,2,0%,9
Thailand,0,2,0%,10.5
Macedonia,0,2,0%,11.5
Panama,0,1,0%,2
Vietnam,0,1,0%,2
China,0,1,0%,4
Ghana,0,1,0%,4
Venezuela,0,1,0%,4
Chile,0,1,0%,5
Taiwan,0,1,0%,5
Malta,0,1,0%,6
Tanzania,0,1,0%,6
Uruguay,0,1,0%,6
Andorra,0,1,0%,7
Unknown Region,0,1,0%,7
Albania,0,1,0%,8
New Zealand,0,1,0%,8
Slovenia,0,1,0%,8
Zambia,0,1,0%,8
Bosnia & Herzegovina,0,1,0%,9
Western Sahara,0,1,0%,9
Malawi,0,1,0%,9
Somalia,0,1,0%,9
Dominican Republic,0,1,0%,10
Algeria,0,1,0%,10
Georgia,0,1,0%,10
Palestine,0,1,0%,10
Armenia,0,1,0%,11
Colombia,0,1,0%,11
